Dim1,Dim2,Label
-24.845144,1.5692219,selected_100_seq
-24.516893,1.9824257,selected_100_seq
-24.523596,1.9776101,selected_100_seq
-8.17918,10.524642,selected_100_seq
-5.222358,15.047713,selected_100_seq
-12.701731,11.829069,selected_100_seq
-12.938605,11.638474,selected_100_seq
-9.602855,-1.6105036,selected_100_seq
-13.494641,12.825318,selected_100_seq
-5.3773823,14.924824,selected_100_seq
-15.582709,6.8611336,selected_100_seq
-9.157395,11.469509,selected_100_seq
-14.400484,11.743308,selected_100_seq
-12.159906,7.860941,selected_100_seq
-8.237925,8.531101,selected_100_seq
-18.301016,4.2424297,selected_100_seq
-18.077559,3.8997428,selected_100_seq
-17.604952,3.9894698,selected_100_seq
-17.666779,4.2055225,selected_100_seq
-24.620262,19.452187,selected_100_seq
-2.33526,12.186649,selected_100_seq
-27.361023,20.057823,selected_100_seq
-18.808338,6.018876,selected_100_seq
-23.368664,15.255699,IPR032724
6.4175754,-21.323198,IPR032724
-8.8583145,5.1372595,IPR032724
4.1727214,-14.121152,IPR032724
19.493158,-4.124132,IPR032724
18.973028,-3.3964121,IPR032724
1.8647579,5.8246293,IPR032724
-20.036427,17.135063,IPR032724
15.134848,-21.055058,IPR032724
9.849779,2.5834496,IPR032724
9.604485,1.70231,IPR032724
8.338597,2.1460526,IPR032724
14.224366,-20.511715,IPR032724
10.854113,-18.402578,IPR032724
6.009236,3.2261674,IPR032724
8.127258,6.5731263,IPR032724
8.210757,1.3351235,IPR032724
-26.20175,25.3041,IPR032724
-18.220678,2.5436382,IPR032724
5.3078647,-23.634506,IPR032724
10.513208,-27.837341,IPR032724
5.0708003,-16.262909,IPR032724
8.680821,3.5189602,IPR032724
15.915471,-24.223354,IPR032724
10.49377,-27.84945,IPR032724
10.101081,-19.83173,IPR032724
2.9163032,5.5517898,IPR032724
-15.090679,5.164184,IPR032724
-5.046078,4.7784696,IPR032724
-17.341793,2.877037,IPR032724
-4.9525156,6.901467,IPR032724
7.3651495,0.24185582,IPR032724
-29.578438,21.785633,IPR032724
