Dim1,Dim2,Label
11.425648,12.223008,IPR032724
10.219585,14.94294,IPR032724
11.451237,13.319865,IPR032724
3.1940734,5.720786,IPR032724
7.5762434,7.507846,IPR032724
12.99454,12.903037,IPR032724
8.07801,15.34164,IPR032724
11.771328,13.322128,IPR032724
9.228872,13.854363,IPR032724
8.195237,15.532408,IPR032724
10.718635,11.931055,IPR032724
6.7616744,9.807282,IPR032724
11.295026,13.685104,IPR032724
2.9550653,5.608177,IPR032724
10.325664,13.336104,IPR032724
11.174325,15.260477,IPR032724
10.31517,13.826995,IPR032724
9.808067,13.752402,IPR032724
7.848629,11.1889715,IPR032724
11.129349,13.45608,IPR032724
11.391933,13.980914,IPR032724
11.7180805,13.977764,IPR032724
12.411481,14.029693,IPR032724
11.207096,15.144752,IPR032724
8.882482,12.735459,IPR032724
9.538146,13.668809,IPR032724
11.644906,14.400711,IPR032724
12.6262045,12.648163,IPR032724
8.818712,12.619942,IPR032724
9.662461,14.4807415,IPR032724
11.137951,13.247394,IPR032724
9.549113,14.354586,IPR032724
12.196228,13.680688,IPR032724
9.343564,3.601333,IPR032724
10.358829,13.321644,IPR032724
12.097337,12.101414,IPR032724
9.576853,14.21034,IPR032724
12.94736,12.879631,IPR032724
7.198977,5.003922,IPR032724
1.7776657,5.4420547,IPR032724
1.8367443,5.955721,IPR032724
9.20554,3.6849775,IPR032724
12.049237,13.277926,IPR032724
6.295232,12.485164,IPR032724
6.497748,12.43631,IPR032724
12.013974,13.659495,IPR032724
11.474608,14.894603,IPR032724
11.0486555,15.357987,IPR032724
8.956942,12.837548,IPR032724
11.051756,15.040103,IPR032724
6.521583,9.206558,IPR032724
8.38396,10.759938,IPR032724
9.51353,13.308024,IPR032724
7.814625,11.8873205,IPR032724
10.10106,13.860262,IPR032724
11.722423,12.046652,IPR032724
7.497583,11.785859,IPR032724
9.901207,13.648756,IPR032724
9.59729,14.290534,IPR032724
10.468586,13.454983,IPR032724
1.977125,4.28424,IPR032724
8.517996,11.513535,IPR032724
8.011343,11.525331,IPR032724
7.1530623,11.146048,IPR032724
10.290542,13.001281,IPR032724
9.533332,13.943054,IPR032724
11.111286,15.261245,IPR032724
2.925192,5.7278295,IPR032724
7.9544396,11.354295,IPR032724
10.288998,13.867877,IPR032724
7.837271,11.120072,IPR032724
10.331473,13.836106,IPR032724
10.076026,14.094985,IPR032724
9.845784,14.198506,IPR032724
9.986303,13.204368,IPR032724
12.164344,12.407013,IPR032724
6.28648,12.294756,IPR032724
7.094969,10.250759,IPR032724
6.419373,9.376502,IPR032724
6.449503,9.581947,IPR032724
6.808629,10.3549595,IPR032724
11.439567,14.524588,IPR032724
10.709821,15.011158,IPR032724
8.849193,4.221841,IPR032724
12.981341,14.083128,IPR032724
10.893167,14.416863,IPR032724
7.01641,9.862482,IPR032724
