Dim1,Dim2,Label
10.397407,11.986643,ProtGPT2
9.463257,12.811679,ProtGPT2
10.3246565,12.183068,ProtGPT2
12.394733,10.725695,ProtGPT2
10.651537,12.124588,ProtGPT2
11.555124,10.387812,ProtGPT2
10.516015,10.492387,ProtGPT2
11.110076,11.614665,ProtGPT2
9.71218,10.698244,ProtGPT2
7.9853964,12.078303,ProtGPT2
7.341464,13.239123,ProtGPT2
10.794119,9.909081,ProtGPT2
10.670121,12.220086,ProtGPT2
9.25011,10.832467,ProtGPT2
10.502955,9.820317,ProtGPT2
8.782931,10.874547,ProtGPT2
11.119794,9.801206,ProtGPT2
7.917449,11.252724,ProtGPT2
11.780795,9.898413,ProtGPT2
11.890237,9.528626,ProtGPT2
9.372518,10.249674,ProtGPT2
9.391658,10.758883,ProtGPT2
8.506408,11.43817,ProtGPT2
11.90696,10.386771,ProtGPT2
11.529457,10.59789,ProtGPT2
9.76094,11.246684,ProtGPT2
8.530642,12.786674,ProtGPT2
11.895385,9.868776,ProtGPT2
9.263099,10.552122,ProtGPT2
13.413932,10.13425,ProtGPT2
9.383904,11.721211,ProtGPT2
10.991281,12.314743,ProtGPT2
10.285605,12.166894,ProtGPT2
11.32275,10.152235,ProtGPT2
9.376747,10.933495,ProtGPT2
12.456034,9.881409,ProtGPT2
11.189433,9.7488,ProtGPT2
11.596432,9.714198,ProtGPT2
9.018864,10.711995,ProtGPT2
11.63158,9.8295,ProtGPT2
7.7709284,13.150359,ProtGPT2
11.513431,10.614973,ProtGPT2
9.801478,12.269983,ProtGPT2
10.330945,12.218148,ProtGPT2
8.61168,11.368219,ProtGPT2
10.735902,10.883294,ProtGPT2
9.962427,12.726532,ProtGPT2
8.380028,13.561329,ProtGPT2
14.252194,9.139466,ProtGPT2
10.23519,11.66346,ProtGPT2
8.997984,11.277614,ProtGPT2
8.813522,10.845857,ProtGPT2
11.502866,9.4609995,ProtGPT2
9.061311,10.958368,ProtGPT2
11.895095,10.016383,ProtGPT2
8.6866455,10.731261,ProtGPT2
10.957602,9.978891,ProtGPT2
9.926392,9.91481,ProtGPT2
9.683302,11.60409,ProtGPT2
9.421635,11.949608,ProtGPT2
8.153835,12.976883,ProtGPT2
11.229411,11.811806,ProtGPT2
10.827528,11.223113,ProtGPT2
11.4795,9.2687645,ProtGPT2
10.020221,9.841752,ProtGPT2
9.408836,11.745274,ProtGPT2
12.6739435,6.221334,ProtGPT2
9.602241,12.823214,ProtGPT2
6.0273333,13.851449,ProtGPT2
8.501513,10.708156,ProtGPT2
10.204239,10.764424,ProtGPT2
11.449548,9.338796,ProtGPT2
