Dim1,Dim2,Label
9.34622,7.7276993,ProtGPT2
14.633935,1.4885706,ProtGPT2
9.807168,6.981683,ProtGPT2
5.675291,6.3625174,ProtGPT2
8.502848,7.219425,ProtGPT2
7.7380056,5.5829086,ProtGPT2
4.450224,6.73056,ProtGPT2
15.210593,1.6254045,ProtGPT2
9.270155,5.413816,ProtGPT2
9.733469,8.45339,ProtGPT2
7.762511,4.977524,ProtGPT2
4.3745747,6.831396,ProtGPT2
12.402671,3.3988655,ProtGPT2
9.315038,6.9782386,ProtGPT2
8.96891,5.2997622,ProtGPT2
9.372017,7.4169035,ProtGPT2
8.166081,1.851159,ProtGPT2
9.183229,1.8612232,ProtGPT2
8.750421,2.6130984,ProtGPT2
9.427869,4.5708523,ProtGPT2
13.413445,3.3390326,ProtGPT2
10.148496,6.017068,ProtGPT2
7.664946,6.206471,ProtGPT2
14.024243,5.1406684,ProtGPT2
13.667758,-0.44616047,ProtGPT2
13.354698,-0.8041718,ProtGPT2
12.887029,1.2880895,ProtGPT2
7.7110343,5.6789026,ProtGPT2
9.040645,8.959964,ProtGPT2
13.692007,3.7220974,ProtGPT2
6.7159534,6.785337,ProtGPT2
10.338013,3.8646188,ProtGPT2
9.67942,7.4586463,ProtGPT2
9.516825,8.334293,ProtGPT2
13.623384,6.064144,ProtGPT2
12.702998,4.356174,ProtGPT2
11.816826,6.9846406,ProtGPT2
8.8525095,7.191524,ProtGPT2
9.171349,8.495633,ProtGPT2
7.048311,5.0583186,ProtGPT2
7.265651,5.469733,ProtGPT2
9.12046,8.404134,ProtGPT2
7.6648073,4.376974,ProtGPT2
9.061163,4.418524,ProtGPT2
13.219188,-0.9820098,ProtGPT2
7.961849,5.631538,ProtGPT2
9.290779,8.444103,ProtGPT2
9.476376,6.1572013,ProtGPT2
7.543051,5.6065106,ProtGPT2
8.538669,3.071902,ProtGPT2
6.4469895,6.8883963,ProtGPT2
9.01783,5.312057,ProtGPT2
6.257686,7.422658,ProtGPT2
6.0761013,6.543323,ProtGPT2
7.744164,4.8105135,ProtGPT2
8.12373,2.8150432,ProtGPT2
13.451665,1.8907044,ProtGPT2
6.822449,7.2203813,ProtGPT2
7.5940437,4.624176,ProtGPT2
9.637214,6.1622334,ProtGPT2
12.433843,-0.13588867,ProtGPT2
6.201469,7.0208416,ProtGPT2
7.9713397,2.4505255,ProtGPT2
6.1040864,6.9460144,ProtGPT2
13.245915,4.060935,ProtGPT2
9.121908,8.998754,ProtGPT2
13.875853,4.017264,ProtGPT2
6.699081,7.6588855,ProtGPT2
9.7627535,5.513845,ProtGPT2
7.1798377,7.4189854,ProtGPT2
8.574712,7.8268933,ProtGPT2
7.0427246,5.2664447,ProtGPT2
7.994271,2.6069953,ProtGPT2
6.285305,6.49167,ProtGPT2
13.200918,-0.7309204,ProtGPT2
14.129214,5.856359,ProtGPT2
